,longitude,latitude,season,VHM0,VMDR
0,104.41666666666664,-1.5,SON,0.084455654,62.382046
1,104.41666666666664,-1.4166666666666714,SON,0.08784562,64.84479
2,104.5,-1.5,SON,0.119204715,73.019
3,104.5,-1.4166666666666714,SON,0.124355376,83.5981
4,104.58333333333331,-1.5833333333333428,SON,0.14071438,81.80963
5,104.58333333333331,-1.5,SON,0.15456752,94.79197
6,104.58333333333331,-1.4166666666666714,SON,0.15923084,101.46426
7,104.66666666666664,-1.8333333333333428,SON,0.10675825,77.23769
8,104.66666666666664,-1.75,SON,0.12996584,77.23769
9,104.66666666666664,-1.6666666666666714,SON,0.14757554,84.84917
10,104.66666666666664,-1.5833333333333428,SON,0.15934755,97.244545
11,104.66666666666664,-1.5,SON,0.16967037,105.2632
12,104.66666666666664,-1.4166666666666714,SON,0.17440261,109.64505
13,104.75,-2.0,SON,0.07198759,87.27835
14,104.75,-1.916666666666672,SON,0.123416096,68.60863
15,104.75,-1.8333333333333428,SON,0.12779538,77.23769
16,104.75,-1.75,SON,0.14879116,77.23769
17,104.75,-1.6666666666666714,SON,0.162672,84.84917
18,104.75,-1.5833333333333428,SON,0.17173097,97.244545
19,104.75,-1.5,SON,0.17997941,105.2632
20,104.75,-1.4166666666666714,SON,0.18599567,109.64505
21,104.83333333333331,-2.0,SON,0.10478261,100.78212
22,104.83333333333331,-1.916666666666672,SON,0.1449068,86.28156
23,104.83333333333331,-1.8333333333333428,SON,0.14559078,90.98901
24,104.83333333333331,-1.75,SON,0.16242465,90.98901
25,104.83333333333331,-1.6666666666666714,SON,0.17336555,97.989334
26,104.83333333333331,-1.5833333333333428,SON,0.18191612,106.09253
27,104.83333333333331,-1.5,SON,0.1898486,109.91039
28,104.83333333333331,-1.4166666666666714,SON,0.1978502,109.99694
29,104.91666666666664,-2.25,SON,0.06713601,56.443123
30,104.91666666666664,-2.1666666666666714,SON,0.086764455,61.79439
31,104.91666666666664,-2.083333333333343,SON,0.1054209,66.34165
32,104.91666666666664,-2.0,SON,0.12245193,86.25214
33,104.91666666666664,-1.916666666666672,SON,0.14199188,100.27426
34,104.91666666666664,-1.8333333333333428,SON,0.15804943,102.90087
35,104.91666666666664,-1.75,SON,0.17053585,102.90087
36,104.91666666666664,-1.6666666666666714,SON,0.18110564,105.33127
37,104.91666666666664,-1.5833333333333428,SON,0.19160719,108.9921
38,104.91666666666664,-1.5,SON,0.20103033,110.724434
39,104.91666666666664,-1.4166666666666714,SON,0.2114217,108.072655
40,105.0,-2.25,SON,0.08840653,96.18724
41,105.0,-2.1666666666666714,SON,0.11201544,96.18724
42,105.0,-2.083333333333343,SON,0.1275598,102.93244
43,105.0,-2.0,SON,0.13971172,107.1149
44,105.0,-1.916666666666672,SON,0.15018556,112.36591
45,105.0,-1.8333333333333428,SON,0.16039845,112.66971
46,105.0,-1.75,SON,0.17105772,113.33625
47,105.0,-1.6666666666666714,SON,0.1838118,113.33625
48,105.0,-1.5833333333333428,SON,0.19846153,111.03109
49,105.0,-1.5,SON,0.2112637,108.93451
50,105.0,-1.4166666666666714,SON,0.22387376,106.324554
51,105.08333333333331,-2.25,SON,0.08921034,132.92326
52,105.08333333333331,-2.1666666666666714,SON,0.110659316,133.5468
53,105.08333333333331,-2.083333333333343,SON,0.11925832,135.0842
54,105.08333333333331,-2.0,SON,0.12090662,129.88138
55,105.08333333333331,-1.916666666666672,SON,0.12921703,125.98018
56,105.08333333333331,-1.8333333333333428,SON,0.1407762,124.34282
57,105.08333333333331,-1.75,SON,0.15418965,124.34282
58,105.08333333333331,-1.6666666666666714,SON,0.16908647,122.09084
59,105.08333333333331,-1.5833333333333428,SON,0.18461543,120.69843
60,105.08333333333331,-1.5,SON,0.19859199,118.050835
61,105.08333333333331,-1.4166666666666714,SON,0.21478684,114.07227
62,105.16666666666664,-2.25,SON,0.08002743,192.84904
63,105.16666666666664,-2.1666666666666714,SON,0.09409342,191.1902
64,105.16666666666664,-2.083333333333343,SON,0.094910674,195.5452
65,105.16666666666664,-2.0,SON,0.100288466,155.1359
66,105.16666666666664,-1.916666666666672,SON,0.09977335,160.12982
67,105.16666666666664,-1.8333333333333428,SON,0.11265107,152.71259
68,105.16666666666664,-1.75,SON,0.1291004,152.71259
69,105.16666666666664,-1.6666666666666714,SON,0.14460188,147.2735
70,105.16666666666664,-1.5833333333333428,SON,0.15787089,147.8492
71,105.16666666666664,-1.5,SON,0.1714287,140.48897
