,longitude,latitude,season,thetao
0,104.5,-1.6666641235351562,SON,30.373917
1,104.5,-1.5833282470703125,SON,30.342163
2,104.5,-1.5,SON,30.294247
3,104.5,-1.4166641235351562,SON,30.338001
4,104.58334350585938,-1.8333282470703125,SON,30.254095
5,104.58334350585938,-1.75,SON,30.239391
6,104.58334350585938,-1.6666641235351562,SON,30.230463
7,104.58334350585938,-1.5833282470703125,SON,30.153208
8,104.58334350585938,-1.5,SON,30.130724
9,104.58334350585938,-1.4166641235351562,SON,30.157999
10,104.66668701171876,-2.0,SON,30.335615
11,104.66668701171876,-1.916664123535156,SON,30.2624
12,104.66668701171876,-1.8333282470703125,SON,30.145496
13,104.66668701171876,-1.75,SON,30.102156
14,104.66668701171876,-1.6666641235351562,SON,30.090921
15,104.66668701171876,-1.5833282470703125,SON,30.045132
16,104.66668701171876,-1.5,SON,30.063608
17,104.66668701171876,-1.4166641235351562,SON,30.083357
18,104.75,-2.0,SON,30.283846
19,104.75,-1.916664123535156,SON,30.183542
20,104.75,-1.8333282470703125,SON,30.06712
21,104.75,-1.75,SON,30.051485
22,104.75,-1.6666641235351562,SON,30.062532
23,104.75,-1.5833282470703125,SON,30.04157
24,104.75,-1.5,SON,30.066036
25,104.75,-1.4166641235351562,SON,30.071497
26,104.83334350585938,-2.0,SON,30.17916
27,104.83334350585938,-1.916664123535156,SON,30.064276
28,104.83334350585938,-1.8333282470703125,SON,30.007458
29,104.83334350585938,-1.75,SON,30.015965
30,104.83334350585938,-1.6666641235351562,SON,30.017899
31,104.83334350585938,-1.5833282470703125,SON,30.004137
32,104.83334350585938,-1.5,SON,30.032919
33,104.83334350585938,-1.4166641235351562,SON,30.032732
34,104.91668701171876,-2.3333282470703125,SON,30.300034
35,104.91668701171876,-2.25,SON,30.147455
36,104.91668701171876,-2.166664123535156,SON,30.013224
37,104.91668701171876,-2.0833282470703125,SON,30.007935
38,104.91668701171876,-2.0,SON,29.986528
39,104.91668701171876,-1.916664123535156,SON,29.905458
40,104.91668701171876,-1.8333282470703125,SON,29.935802
41,104.91668701171876,-1.75,SON,29.950697
42,104.91668701171876,-1.6666641235351562,SON,29.953466
43,104.91668701171876,-1.5833282470703125,SON,29.959824
44,104.91668701171876,-1.5,SON,29.989094
45,104.91668701171876,-1.4166641235351562,SON,30.003202
46,105.0,-2.3333282470703125,SON,30.25711
47,105.0,-2.25,SON,29.990414
48,105.0,-2.166664123535156,SON,29.77608
49,105.0,-2.0833282470703125,SON,29.74289
50,105.0,-2.0,SON,29.787231
51,105.0,-1.916664123535156,SON,29.793962
52,105.0,-1.8333282470703125,SON,29.821898
53,105.0,-1.75,SON,29.849508
54,105.0,-1.6666641235351562,SON,29.872644
55,105.0,-1.5833282470703125,SON,29.923803
56,105.0,-1.5,SON,29.940443
57,105.0,-1.4166641235351562,SON,29.961348
58,105.08334350585938,-2.3333282470703125,SON,30.15095
59,105.08334350585938,-2.25,SON,29.799753
60,105.08334350585938,-2.166664123535156,SON,29.734066
61,105.08334350585938,-2.0833282470703125,SON,29.750767
62,105.08334350585938,-2.0,SON,29.802225
63,105.08334350585938,-1.916664123535156,SON,29.817326
64,105.08334350585938,-1.8333282470703125,SON,29.82369
65,105.08334350585938,-1.75,SON,29.843018
66,105.08334350585938,-1.6666641235351562,SON,29.868525
67,105.08334350585938,-1.5833282470703125,SON,29.89268
68,105.08334350585938,-1.5,SON,29.915434
69,105.08334350585938,-1.4166641235351562,SON,29.915972
70,105.16668701171876,-2.3333282470703125,SON,30.146395
71,105.16668701171876,-2.25,SON,29.79091
72,105.16668701171876,-2.166664123535156,SON,29.767536
73,105.16668701171876,-2.0833282470703125,SON,29.836489
