,longitude,latitude,season,thetao
0,104.5,-1.6666641235351562,DJF,29.305882
1,104.5,-1.5833282470703125,DJF,29.305555
2,104.5,-1.5,DJF,29.277061
3,104.5,-1.4166641235351562,DJF,29.281895
4,104.58334350585938,-1.8333282470703125,DJF,29.187307
5,104.58334350585938,-1.75,DJF,29.166395
6,104.58334350585938,-1.6666641235351562,DJF,29.1095
7,104.58334350585938,-1.5833282470703125,DJF,29.031263
8,104.58334350585938,-1.5,DJF,29.039768
9,104.58334350585938,-1.4166641235351562,DJF,29.031868
10,104.66668701171876,-2.0,DJF,29.127598
11,104.66668701171876,-1.916664123535156,DJF,29.054182
12,104.66668701171876,-1.8333282470703125,DJF,28.992126
13,104.66668701171876,-1.75,DJF,28.969286
14,104.66668701171876,-1.6666641235351562,DJF,28.937187
15,104.66668701171876,-1.5833282470703125,DJF,28.905693
16,104.66668701171876,-1.5,DJF,28.925123
17,104.66668701171876,-1.4166641235351562,DJF,28.928293
18,104.75,-2.0,DJF,29.074358
19,104.75,-1.916664123535156,DJF,28.964468
20,104.75,-1.8333282470703125,DJF,28.89097
21,104.75,-1.75,DJF,28.909573
22,104.75,-1.6666641235351562,DJF,28.905209
23,104.75,-1.5833282470703125,DJF,28.894012
24,104.75,-1.5,DJF,28.897238
25,104.75,-1.4166641235351562,DJF,28.894096
26,104.83334350585938,-2.0,DJF,29.079634
27,104.83334350585938,-1.916664123535156,DJF,28.919142
28,104.83334350585938,-1.8333282470703125,DJF,28.880934
29,104.83334350585938,-1.75,DJF,28.902744
30,104.83334350585938,-1.6666641235351562,DJF,28.887259
31,104.83334350585938,-1.5833282470703125,DJF,28.877977
32,104.83334350585938,-1.5,DJF,28.865221
33,104.83334350585938,-1.4166641235351562,DJF,28.852953
34,104.91668701171876,-2.3333282470703125,DJF,29.303738
35,104.91668701171876,-2.25,DJF,29.10447
36,104.91668701171876,-2.166664123535156,DJF,28.959887
37,104.91668701171876,-2.0833282470703125,DJF,28.984047
38,104.91668701171876,-2.0,DJF,28.953098
39,104.91668701171876,-1.916664123535156,DJF,28.839918
40,104.91668701171876,-1.8333282470703125,DJF,28.86791
41,104.91668701171876,-1.75,DJF,28.864122
42,104.91668701171876,-1.6666641235351562,DJF,28.840096
43,104.91668701171876,-1.5833282470703125,DJF,28.836857
44,104.91668701171876,-1.5,DJF,28.833199
45,104.91668701171876,-1.4166641235351562,DJF,28.828362
46,105.0,-2.3333282470703125,DJF,29.17392
47,105.0,-2.25,DJF,28.858988
48,105.0,-2.166664123535156,DJF,28.740242
49,105.0,-2.0833282470703125,DJF,28.75212
50,105.0,-2.0,DJF,28.749851
51,105.0,-1.916664123535156,DJF,28.75823
52,105.0,-1.8333282470703125,DJF,28.780918
53,105.0,-1.75,DJF,28.786276
54,105.0,-1.6666641235351562,DJF,28.783726
55,105.0,-1.5833282470703125,DJF,28.798943
56,105.0,-1.5,DJF,28.791761
57,105.0,-1.4166641235351562,DJF,28.790382
58,105.08334350585938,-2.3333282470703125,DJF,29.011793
59,105.08334350585938,-2.25,DJF,28.732975
60,105.08334350585938,-2.166664123535156,DJF,28.712149
61,105.08334350585938,-2.0833282470703125,DJF,28.731432
62,105.08334350585938,-2.0,DJF,28.764578
63,105.08334350585938,-1.916664123535156,DJF,28.75884
64,105.08334350585938,-1.8333282470703125,DJF,28.753792
65,105.08334350585938,-1.75,DJF,28.770243
66,105.08334350585938,-1.6666641235351562,DJF,28.773916
67,105.08334350585938,-1.5833282470703125,DJF,28.772684
68,105.08334350585938,-1.5,DJF,28.761288
69,105.08334350585938,-1.4166641235351562,DJF,28.746304
70,105.16668701171876,-2.3333282470703125,DJF,29.08254
71,105.16668701171876,-2.25,DJF,28.73527
72,105.16668701171876,-2.166664123535156,DJF,28.721413
73,105.16668701171876,-2.0833282470703125,DJF,28.801954
74,105.16668701171876,-2.0,DJF,28.843319
75,105.16668701171876,-1.916664123535156,DJF,28.779823
76,105.16668701171876,-1.8333282470703125,DJF,28.738512
