,longitude,latitude,season,uo,vo,speed(m/s),direction
0,104.5,-1.6666641235351562,JJA,-0.01555229,0.022506049,0.0273568266769832,304.6455243577098
1,104.5,-1.5833282470703125,JJA,-0.017886626,0.023633808,0.0296393027961984,307.1192994514194
2,104.5,-1.5,JJA,-0.020422773,0.040065628,0.0449704814744506,297.00944026976697
3,104.5,-1.4166641235351562,JJA,-0.020762557,0.058227066,0.0618180797837218,289.62517391714465
4,104.58334350585938,-1.8333282470703125,JJA,-0.015945362,0.020384504,0.025880157894361,308.03356901294364
5,104.58334350585938,-1.75,JJA,-0.020778451,0.02572725,0.0330701590338162,308.9258575689379
6,104.58334350585938,-1.6666641235351562,JJA,-0.021463618,0.042961035,0.0480243420144529,296.54701767537136
7,104.58334350585938,-1.5833282470703125,JJA,-0.025958903,0.056742672,0.0623986816420266,294.58336872541764
8,104.58334350585938,-1.5,JJA,-0.026509417,0.067712806,0.0727170769907146,291.3802355974231
9,104.58334350585938,-1.4166641235351562,JJA,-0.022365712,0.07464024,0.0779191279502314,286.6806785602806
10,104.66668701171876,-2.0,JJA,-0.013234101,0.014192668,0.0194054954648528,312.9983242867712
11,104.66668701171876,-1.916664123535156,JJA,-0.01819567,0.020197732,0.0271851206488535,312.01495847681065
12,104.66668701171876,-1.8333282470703125,JJA,-0.023500396,0.037427254,0.0441935284191852,302.1245176311324
13,104.66668701171876,-1.75,JJA,-0.028318552,0.05219234,0.0593799691988157,298.4833997055687
14,104.66668701171876,-1.6666641235351562,JJA,-0.029765071,0.06113268,0.0679938527781551,295.9611242997055
15,104.66668701171876,-1.5833282470703125,JJA,-0.03871855,0.070459835,0.0803972291955993,298.7893383550853
16,104.66668701171876,-1.5,JJA,-0.029490741,0.078451,0.0838108776098251,290.6018869399746
17,104.66668701171876,-1.4166641235351562,JJA,-0.027122034,0.08386982,0.0881461935373817,287.92030078508424
18,104.75,-2.0,JJA,-0.01954486,0.021339627,0.0289375402015915,312.4864159319277
19,104.75,-1.916664123535156,JJA,-0.028686881,0.032515574,0.0433612695162127,311.4203649052492
20,104.75,-1.8333282470703125,JJA,-0.037623834,0.049328234,0.0620389196748163,307.333639772423
21,104.75,-1.75,JJA,-0.03612976,0.056073997,0.0667057171253979,302.79461026920484
22,104.75,-1.6666641235351562,JJA,-0.033316907,0.060561407,0.0691209108003236,298.8167009623162
23,104.75,-1.5833282470703125,JJA,-0.048423797,0.064244024,0.080449728002087,307.0070827826425
24,104.75,-1.5,JJA,-0.03170116,0.067973346,0.0750022620444298,295.0032320222846
25,104.75,-1.4166641235351562,JJA,-0.031142427,0.07258134,0.0789803879177984,293.2226871647734
26,104.83334350585938,-2.0,JJA,-0.03947116,0.044519965,0.0594978970665924,311.5600228157029
27,104.83334350585938,-1.916664123535156,JJA,-0.04833375,0.04123684,0.0635344659397409,319.5302289690311
28,104.83334350585938,-1.8333282470703125,JJA,-0.045348655,0.054207977,0.0706753512954944,309.9147715147566
29,104.83334350585938,-1.75,JJA,-0.03575198,0.0573848,0.0676107931099791,301.9238050087795
30,104.83334350585938,-1.6666641235351562,JJA,-0.03755014,0.06243257,0.0728549161747132,301.02485256451257
31,104.83334350585938,-1.5833282470703125,JJA,-0.055549677,0.06884137,0.0884584695678216,308.90085390072784
32,104.83334350585938,-1.5,JJA,-0.040018607,0.07345188,0.0836460852745354,298.5827650746924
33,104.83334350585938,-1.4166641235351562,JJA,-0.03956778,0.08287703,0.0918379622800359,295.5210963933169
34,104.91668701171876,-2.3333282470703125,JJA,-0.0022206844,0.0129746,0.0131632702762042,279.71242266411065
35,104.91668701171876,-2.25,JJA,-0.014320719,0.014058755,0.0200681734302598,315.528868339984
36,104.91668701171876,-2.166664123535156,JJA,-0.03760466,0.035082232,0.0514283332008477,316.9875179793436
37,104.91668701171876,-2.0833282470703125,JJA,-0.043236148,0.069437005,0.0817976904151207,301.9091691553148
38,104.91668701171876,-2.0,JJA,-0.054116573,0.08997679,0.1049972676404887,301.02482013800005
39,104.91668701171876,-1.916664123535156,JJA,-0.053710733,0.09401956,0.1082798249998165,299.7381140038726
40,104.91668701171876,-1.8333282470703125,JJA,-0.041217852,0.089983575,0.0989745173934913,294.61060851766257
41,104.91668701171876,-1.75,JJA,-0.03407603,0.08381951,0.0904814128824312,292.1237361132784
