,longitude,latitude,season,uo,vo,speed(m/s),direction
0,104.5,-1.6666641235351562,MAM,0.004100564,-0.005559887,0.0069084707838178,126.4097579979728
1,104.5,-1.5833282470703125,MAM,0.0027700653,-0.0053290552,0.0060060045863211,117.46560043626027
2,104.5,-1.5,MAM,0.0025231473,-0.006650069,0.0071126429688448,110.77758222446548
3,104.5,-1.4166641235351562,MAM,0.0034198319,-0.007484981,0.0082292278370828,114.55530669274184
4,104.58334350585938,-1.8333282470703125,MAM,0.003792733,-0.0062785097,0.0073351555990505,121.13540712830842
5,104.58334350585938,-1.75,MAM,0.004034894,-0.0072251335,0.0082754409963492,119.1812847369562
6,104.58334350585938,-1.6666641235351562,MAM,0.004641343,-0.008165632,0.0093925295210115,119.61388815254604
7,104.58334350585938,-1.5833282470703125,MAM,0.0019963144,-0.00676811,0.0070563860548971,106.43389379820816
8,104.58334350585938,-1.5,MAM,0.002685238,-0.0068754214,0.007381187068773,111.33343583347558
9,104.58334350585938,-1.4166641235351562,MAM,0.0044528563,-0.0075169834,0.0087368740785434,120.64134566883472
10,104.66668701171876,-2.0,MAM,0.0018109836,-0.0061235935,0.0063857700360028,106.47498756598216
11,104.66668701171876,-1.916664123535156,MAM,0.0027093845,-0.008485848,0.0089078830620941,107.70738338666222
12,104.66668701171876,-1.8333282470703125,MAM,0.0035317051,-0.009149153,0.0098071372750041,111.1073079577764
13,104.66668701171876,-1.75,MAM,0.004166527,-0.007341077,0.0084410519937776,119.57766030848455
14,104.66668701171876,-1.6666641235351562,MAM,0.0063320044,-0.00727843,0.009647270234969,131.0222398109766
15,104.66668701171876,-1.5833282470703125,MAM,0.004191806,-0.0065765297,0.0077988448142412,122.51297787961865
16,104.66668701171876,-1.5,MAM,0.003970304,-0.006943109,0.0079981295587341,119.76237844847888
17,104.66668701171876,-1.4166641235351562,MAM,0.0061131613,-0.008458977,0.0104367156216094,125.85501045887496
18,104.75,-2.0,MAM,0.003170538,-0.004976487,0.0059006553933112,122.50136049526932
19,104.75,-1.916664123535156,MAM,0.0036302817,-0.0067199883,0.007637878499524,118.37886816042882
20,104.75,-1.8333282470703125,MAM,0.0038941156,-0.0064259325,0.0075137703452208,121.21586635113252
21,104.75,-1.75,MAM,0.0056394255,-0.0046822485,0.0073298411296427,140.298152160569
22,104.75,-1.6666641235351562,MAM,0.00802851,-0.0038820836,0.0089178218135085,154.19450350686952
23,104.75,-1.5833282470703125,MAM,0.0068201595,-0.004593807,0.0082229944885479,146.0372509164229
24,104.75,-1.5,MAM,0.0046237567,-0.0066039264,0.0080616977068984,124.99789047154836
25,104.75,-1.4166641235351562,MAM,0.0065568145,-0.008082172,0.0104073685735153,129.0513439778799
26,104.83334350585938,-2.0,MAM,0.0070675295,0.0023904005,0.0074608302342145,198.68671555848704
27,104.83334350585938,-1.916664123535156,MAM,0.0066648964,-0.000590776,0.006691028344351,174.9345444985781
28,104.83334350585938,-1.8333282470703125,MAM,0.0061974414,-0.0004438344,0.0062133138405409,175.90371338746027
29,104.83334350585938,-1.75,MAM,0.007921557,-0.0013631838,0.0080379932431441,170.23586988475867
30,104.83334350585938,-1.6666641235351562,MAM,0.008797165,-0.0020032674,0.0090223717676189,167.1715106365232
31,104.83334350585938,-1.5833282470703125,MAM,0.0061289542,-0.0028070328,0.006741180365928,155.39243835839468
32,104.83334350585938,-1.5,MAM,0.0046560746,-0.0065061683,0.0080005785183754,125.58902711622088
33,104.83334350585938,-1.4166641235351562,MAM,0.0056900783,-0.010766608,0.0121777189524883,117.85614382285571
34,104.91668701171876,-2.3333282470703125,MAM,0.009935945,-0.0018322662,0.0101034747721111,169.55159058164418
35,104.91668701171876,-2.25,MAM,0.009510634,-0.004540073,0.0105387106387491,154.48168047737838
36,104.91668701171876,-2.166664123535156,MAM,0.0009378509,-0.0025903946,0.0027549425573575,109.90276018250144
37,104.91668701171876,-2.0833282470703125,MAM,0.0046937293,0.0060664243,0.0076702410998161,232.2700713061105
38,104.91668701171876,-2.0,MAM,0.014097963,0.015527185,0.0209725066402086,227.76200973166505
39,104.91668701171876,-1.916664123535156,MAM,0.0152125,0.020559737,0.025575827293739,233.50162991435857
40,104.91668701171876,-1.8333282470703125,MAM,0.012397093,0.01892034,0.0226200614624772,236.76615289180108
41,104.91668701171876,-1.75,MAM,0.015155022,0.014770638,0.0211623826339929,224.26409743848183
42,104.91668701171876,-1.6666641235351562,MAM,0.013058556,0.011890668,0.0176610834970949,222.3199069422205
43,104.91668701171876,-1.5833282470703125,MAM,0.007993569,0.010094591,0.0128762538346773,231.62547496826545
44,104.91668701171876,-1.5,MAM,0.009772544,0.004981123,0.0109687830944487,207.0082059401365
45,104.91668701171876,-1.4166641235351562,MAM,0.0077521373,-0.0015376732,0.0079031684524657,168.78073680684506
46,105.0,-2.3333282470703125,MAM,0.017347194,-0.0009803795,0.0173748750682603,176.7653605154765
47,105.0,-2.25,MAM,0.016338786,1.485563e-06,0.0163387860675355,180.0052094745513
48,105.0,-2.166664123535156,MAM,-0.0053304927,0.003935736,0.0066260222069088,323.55992550041145
